job_id,account,target,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category
quickcutspod_05williamsjoselyn,quickcutspod,05williamsjoselyn,failed,0,2025-12-20T18:42:18.575590,2025-12-20T18:55:43.683643,Stale claim - max attempts reached,3,3,2025-12-20T18:41:06.559585,stale_claim,infrastructure
podsnipline_1lizzielou,podsnipline,1lizzielou,failed,0,2025-12-20T18:45:57.442421,2025-12-20T18:47:13.018805,Exception: Device 98.98.125.32:20123 never appeared in ADB devices list after 60s,3,3,2025-12-20T18:44:05.707673,adb_timeout,infrastructure
podreelsector_5hrinphpp3rxs,podreelsector,5hrinphpp3rxs,success,0,2025-12-20T18:50:38.252423,2025-12-20T18:52:04.449266,,2,3,2025-12-20T18:50:38.245523,,
podpunchdaily_6izgmmartina,podpunchdaily,6izgmmartina,success,0,2025-12-20T18:58:49.559996,2025-12-20T19:00:10.844985,,2,3,2025-12-20T18:58:49.555713,,
podpeakstudio__ajsteele,podpeakstudio,_ajsteele,success,0,2025-12-20T18:52:14.481435,2025-12-20T18:55:33.654585,,1,3,,,
podcutstories__komi.n.agb_,podcutstories,_komi.n.agb_,success,0,2025-12-20T18:55:43.686121,2025-12-20T19:01:41.271720,,1,3,,,
mindsetmiccuts_a.maly865,mindsetmiccuts,a.maly865,failed,1,2025-12-20T19:14:45.522281,2025-12-20T19:20:28.885525,Max steps (30) reached without completing follow,3,3,2025-12-20T19:14:37.397841,claude_stuck,infrastructure
micwisdomdaily_aa0531539393,micwisdomdaily,aa0531539393,success,0,2025-12-20T19:00:20.868330,2025-12-20T19:01:41.506518,,1,3,,,
micnotesarchive_aaronlcarney,micnotesarchive,aaronlcarney,success,2,2025-12-20T19:00:53.202872,2025-12-20T19:02:08.392637,,1,3,,,
micmindvault_abig.ailjackson72mmq,micmindvault,abig.ailjackson72mmq,success,0,2025-12-20T19:01:51.294004,2025-12-20T19:05:04.395407,,1,3,,,
castcoremedia_achmeezy,castcoremedia,achmeezy,failed,3,2025-12-20T19:25:24.618435,2025-12-20T19:25:41.955055,Exception: Appium connection failed after 3 attempts: ADB connection lost and reconnect failed,3,3,2025-12-20T19:25:24.616325,adb_timeout,infrastructure
bitepodmedia_ahsan_qureshi97,bitepodmedia,ahsan_qureshi97,success,3,2025-12-20T19:01:54.138323,2025-12-20T19:05:24.946338,,1,3,,,
bitecastclips_alex.duguay1,bitecastclips,alex.duguay1,success,2,2025-12-20T19:02:18.432022,2025-12-20T19:05:14.092778,,1,3,,,
clipsonairwave_alextiratsuyan,clipsonairwave,alextiratsuyan,success,4,2025-12-20T19:02:53.231697,2025-12-20T19:05:33.367183,,1,3,,,
archipelago_one_alicia30052,archipelago_one,alicia30052,success,3,2025-12-20T19:17:54.321358,2025-12-20T19:19:15.903429,,3,3,2025-12-20T19:17:46.246296,,
warlordregent_alof0k3,warlordregent,alof0k3,success,1,2025-12-20T19:05:11.635034,2025-12-20T19:07:56.362752,,1,3,,,
thequietbaron_alvarez.pnw,thequietbaron,alvarez.pnw,success,0,2025-12-20T19:05:14.415690,2025-12-20T19:08:42.638925,,1,3,,,
thefieldsketcher_amani.ccll7325,thefieldsketcher,amani.ccll7325,success,2,2025-12-20T19:05:24.118009,2025-12-20T19:07:29.389298,,1,3,,,
thebaysideduke_amyrinnemoon,thebaysideduke,amyrinnemoon,success,3,2025-12-20T19:05:34.990393,2025-12-20T19:08:04.260749,,1,3,,,
thebackroadman_anabelle.redd_,thebackroadman,anabelle.redd_,success,4,2025-12-20T19:05:43.401455,2025-12-20T19:08:13.203609,,1,3,,,
stone_mason_live_andrew.sibai,stone_mason_live,andrew.sibai,success,2,2025-12-20T19:07:39.410688,2025-12-20T19:08:56.053187,,1,3,,,
sovereignclaw_andrewcampbelli,sovereignclaw,andrewcampbelli,success,1,2025-12-20T19:08:06.413811,2025-12-20T19:12:07.462211,,1,3,,,
silverscribewindow_angei4362,silverscribewindow,angei4362,success,3,2025-12-20T19:08:14.290924,2025-12-20T19:09:47.346399,,1,3,,,
seegloryvault_angelasmithy5036,seegloryvault,angelasmithy5036,success,4,2025-12-20T19:08:23.230949,2025-12-20T19:11:19.343093,,1,3,,,
orbmasterstrike_annabeltiti13,orbmasterstrike,annabeltiti13,success,0,2025-12-20T19:08:52.645435,2025-12-20T19:13:52.375716,,1,3,,,
kingmakerpulse_annachapman58h3c,kingmakerpulse,annachapman58h3c,success,2,2025-12-20T19:09:06.084526,2025-12-20T19:13:42.782649,,1,3,,,
itsunpluggedlife_annachen2967,itsunpluggedlife,annachen2967,success,0,2025-12-20T19:09:47.441139,2025-12-20T19:12:31.295585,,1,3,,,
ironwillascendant_annetheacademic,ironwillascendant,annetheacademic,success,3,2025-12-20T19:09:57.354724,2025-12-20T19:12:23.763639,,1,3,,,
inreallifemaxx_aom.duangkamol94,inreallifemaxx,aom.duangkamol94,success,1,2025-12-20T19:12:17.470118,2025-12-20T19:14:35.514259,,1,3,,,
empirestrongofmind_ariana.9653340,empirestrongofmind,ariana.9653340,success,3,2025-12-20T19:12:33.800551,2025-12-20T19:14:45.978891,,1,3,,,
crimsonlegionshort_atulnav,crimsonlegionshort,atulnav,success,0,2025-12-20T19:12:41.317730,2025-12-20T19:16:45.970256,,1,3,,,
bentzenithruler_audreyvance9634hc,bentzenithruler,audreyvance9634hc,success,4,2025-12-20T19:12:56.256188,2025-12-20T19:15:56.659849,,1,3,,,
tjmexicosfinest_aurora_42149,tjmexicosfinest,aurora_42149,success,0,2025-12-20T19:14:02.383235,2025-12-20T19:17:28.330189,,1,3,,,
rustywatermeal_austin.alexander.john,rustywatermeal,austin.alexander.john,success,3,2025-12-20T19:14:55.987513,2025-12-20T19:17:44.290179,,1,3,,,
RoughConcreteShifter_austin.g.lord,RoughConcreteShifter,austin.g.lord,success,4,2025-12-20T19:16:06.684734,2025-12-20T19:19:40.843913,,1,3,,,
reddyplayerwonton_axmksqwvig8a,reddyplayerwonton,axmksqwvig8a,success,0,2025-12-20T19:16:55.998895,2025-12-20T19:19:30.850797,,1,3,,,
lucysplainyoself_ay1232lilah,lucysplainyoself,ay1232lilah,success,0,2025-12-20T19:17:38.337734,2025-12-20T19:20:31.804920,,1,3,,,
LoomedTwillHook_bahuznas,LoomedTwillHook,bahuznas,success,3,2025-12-20T19:19:25.912472,2025-12-20T19:22:24.788782,,1,3,,,
LockedVaultDuster_barbaramurray280rjj,LockedVaultDuster,barbaramurray280rjj,success,0,2025-12-20T19:19:40.877870,2025-12-20T19:22:51.216412,,1,3,,,
HollowedBoneVessels_belindahabakkuk_1119,HollowedBoneVessels,belindahabakkuk_1119,failed,3,2025-12-20T19:39:03.526797,2025-12-20T19:44:13.983936,Max steps (30) reached without completing follow,3,3,2025-12-20T19:38:52.341224,claude_stuck,infrastructure
